iter	Passed	Remaining
0	182	182545
1	193	96755
2	204	68033
3	224	55808
4	235	46788
5	253	41946
6	275	39021
7	296	36753
8	315	34700
9	334	33078
10	352	31680
11	370	30491
12	388	29489
13	408	28758
14	426	28036
15	446	27436
16	464	26870
17	484	26433
18	504	26056
19	523	25650
20	542	25271
21	561	24975
22	579	24620
23	599	24383
24	618	24102
25	635	23821
26	654	23586
27	674	23410
28	695	23292
29	714	23088
30	732	22891
31	751	22746
32	771	22595
33	789	22418
34	809	22331
35	828	22178
36	848	22089
37	868	21979
38	887	21862
39	905	21740
40	924	21632
41	943	21529
42	962	21420
43	980	21304
44	999	21203
45	1018	21114
46	1037	21036
47	1056	20944
48	1076	20899
49	1096	20834
50	1115	20758
51	1134	20686
52	1153	20605
53	1173	20553
54	1193	20499
55	1213	20457
56	1232	20395
57	1251	20334
58	1272	20302
59	1294	20277
60	1313	20219
61	1333	20176
62	1355	20153
63	1376	20135
64	1395	20067
65	1413	20002
66	1432	19943
67	1450	19879
68	1471	19851
69	1492	19828
70	1511	19771
71	1529	19714
72	1548	19661
73	1565	19594
74	1585	19550
75	1603	19490
76	1621	19432
77	1639	19378
78	1659	19345
79	1677	19292
80	1697	19255
81	1716	19214
82	1735	19173
83	1754	19131
84	1773	19091
85	1793	19058
86	1812	19023
87	1832	18987
88	1851	18952
89	1871	18921
90	1890	18880
91	1909	18847
92	1928	18808
93	1947	18773
94	1965	18727
95	1984	18690
96	2003	18647
97	2021	18604
98	2040	18567
99	2059	18539
100	2078	18502
101	2097	18465
102	2116	18429
103	2134	18393
104	2154	18362
105	2172	18319
106	2192	18297
107	2214	18287
108	2233	18260
109	2256	18254
110	2274	18220
111	2293	18181
112	2311	18143
113	2330	18115
114	2351	18099
115	2371	18075
116	2392	18052
117	2412	18030
118	2432	18006
119	2454	18001
120	2474	17974
121	2494	17955
122	2514	17931
123	2535	17910
124	2554	17883
125	2575	17862
126	2594	17835
127	2612	17797
128	2631	17764
129	2651	17745
130	2670	17715
131	2693	17708
132	2712	17685
133	2731	17651
134	2749	17619
135	2768	17588
136	2788	17565
137	2806	17528
138	2825	17500
139	2851	17515
140	2873	17503
141	2891	17472
142	2910	17441
143	2929	17414
144	2949	17389
145	2968	17362
146	2986	17332
147	3006	17309
148	3026	17285
149	3045	17258
150	3064	17229
151	3085	17213
152	3103	17183
153	3125	17170
154	3145	17145
155	3165	17127
156	3185	17103
157	3204	17076
158	3223	17049
159	3244	17034
160	3262	17001
161	3280	16970
162	3298	16938
163	3317	16910
164	3336	16886
165	3355	16856
166	3374	16829
167	3392	16801
168	3410	16769
169	3429	16743
170	3448	16717
171	3467	16690
172	3485	16663
173	3505	16640
174	3523	16611
175	3541	16581
176	3559	16550
177	3578	16526
178	3597	16498
179	3615	16468
180	3634	16445
181	3653	16421
182	3673	16398
183	3692	16373
184	3710	16344
185	3730	16324
186	3750	16303
187	3769	16282
188	3788	16257
189	3807	16233
190	3826	16209
191	3850	16205
192	3870	16184
193	3888	16157
194	3907	16129
195	3926	16106
196	3945	16080
197	3963	16054
198	3982	16030
199	4019	16077
200	4050	16100
201	4073	16090
202	4092	16067
203	4111	16044
204	4130	16017
205	4149	15992
206	4167	15963
207	4185	15938
208	4204	15911
209	4222	15884
210	4242	15864
211	4261	15840
212	4280	15815
213	4300	15795
214	4319	15769
215	4338	15747
216	4356	15720
217	4376	15697
218	4395	15675
219	4415	15654
220	4439	15650
221	4462	15639
222	4483	15620
223	4506	15611
224	4525	15587
225	4544	15563
226	4564	15542
227	4584	15523
228	4603	15499
229	4624	15480
230	4672	15553
231	4695	15542
232	4717	15528
233	4737	15507
234	4757	15488
235	4780	15475
236	4801	15458
237	4831	15468
238	4859	15474
